Tanggal,Lintang,Bujur,Magnitudo,Kedalaman (km),Lokasi,Keterangan,Sumber
2022-01-16 02:39:00,-8.13421752677662,112.918041661543,3.99,50,"Gunung Semeru, Lumajang","3 kali gempa Tremor Non-Harmonik
5 kali gempa Letusan/Erupsi
4 kali gempa Vulkanik Dalam",VolcanoDiscovery
2022-01-18 04:38:00,-7.96455710959789,112.31680035247,4.15,63,"Gunung Kelud, Kediri","3 kali gempa Vulkanik Dalam
3 kali gempa Tremor Non-Harmonik
4 kali gempa Hembusan",VolcanoDiscovery
2022-01-19 11:00:00,-8.15282535434188,114.066475027313,4.07,23,"Gunung Raung, Banyuwangi","3 kali gempa Low
5 kali gempa Low Frequency
1 kali gempa Vulkanik Dalam
2 kali gempa Guguran
5 kali gempa Tektonik Jauh",VolcanoDiscovery
2022-01-19 12:05:00,-8.1055142828545,114.107364085696,5.55,32,"Gunung Raung, Banyuwangi","1 kali gempa Low
1 kali gempa Vulkanik Dalam
5 kali gempa Hembusan
4 kali gempa Low Frequency",VolcanoDiscovery
2022-01-19 21:24:00,-8.16991093979182,114.040122054845,4.45,60,"Gunung Raung, Banyuwangi","2 kali gempa Letusan/Erupsi
5 kali gempa Low
3 kali gempa Hembusan",VolcanoDiscovery
2022-01-19 22:30:00,-8.12683435056466,114.052334118457,3.31,7,"Gunung Raung, Banyuwangi",3 kali gempa Vulkanik Dalam,VolcanoDiscovery
2022-01-20 01:17:00,-8.16950168352108,114.044960470702,2.69,50,"Gunung Raung, Banyuwangi","2 kali gempa Hembusan
1 kali gempa Low
4 kali gempa Tektonik Lokal
4 kali gempa Tremor Non-Harmonik
5 kali gempa Guguran",VolcanoDiscovery
2022-01-20 11:11:00,-7.97351424033969,113.00483041514,4.81,69,"Gunung Bromo, Probolinggo","4 kali gempa Hembusan
1 kali gempa Tektonik Lokal
4 kali gempa Low",VolcanoDiscovery
2022-01-22 11:34:00,-7.88339802425304,112.26634436832,4.69,24,"Gunung Kelud, Kediri","4 kali gempa Tektonik Jauh
5 kali gempa Low
3 kali gempa Letusan/Erupsi
4 kali gempa Low Frequency",VolcanoDiscovery
2022-01-22 13:08:00,-7.92075480919809,112.329246757137,3.58,17,"Gunung Kelud, Kediri",3 kali gempa Guguran,VolcanoDiscovery
2022-01-23 10:28:00,-8.04213293920346,112.873866024658,5.38,41,"Gunung Semeru, Lumajang","5 kali gempa Hembusan
3 kali gempa Vulkanik Dalam
3 kali gempa Tremor Non-Harmonik
4 kali gempa Guguran",VolcanoDiscovery
2022-01-23 22:19:00,-8.11303139032367,114.052395933188,4.06,13,"Gunung Raung, Banyuwangi","5 kali gempa Tektonik Lokal
1 kali gempa Hembusan
5 kali gempa Vulkanik Dalam
2 kali gempa Letusan/Erupsi",VolcanoDiscovery
2022-01-23 23:14:00,-7.94986263560164,113.007176213484,5.8,39,"Gunung Bromo, Probolinggo","1 kali gempa Hembusan
1 kali gempa Letusan/Erupsi
1 kali gempa Low Frequency
2 kali gempa Tremor Non-Harmonik
1 kali gempa Guguran",VolcanoDiscovery
2022-01-24 22:17:00,-7.97826320634496,112.373239513209,4.88,60,"Gunung Kelud, Kediri","4 kali gempa Hembusan
5 kali gempa Tektonik Jauh
3 kali gempa Tremor Non-Harmonik
5 kali gempa Low Frequency",VolcanoDiscovery
2022-01-25 02:41:00,-7.99964109111897,112.23864833572,2.15,56,"Gunung Kelud, Kediri","4 kali gempa Low Frequency
5 kali gempa Guguran
2 kali gempa Low
2 kali gempa Tektonik Lokal",VolcanoDiscovery
2022-01-25 05:28:00,-7.91291019037841,112.309746128162,3.94,14,"Gunung Kelud, Kediri",2 kali gempa Low Frequency,VolcanoDiscovery
2022-01-25 09:51:00,-8.08845910249617,112.928180771379,4.29,23,"Gunung Semeru, Lumajang","3 kali gempa Tremor Non-Harmonik
3 kali gempa Low
3 kali gempa Tektonik Jauh",VolcanoDiscovery
2022-01-25 12:18:00,-7.92061923369117,112.905251394729,3.54,42,"Gunung Bromo, Probolinggo","4 kali gempa Vulkanik Dalam
3 kali gempa Letusan/Erupsi
3 kali gempa Tremor Non-Harmonik
1 kali gempa Tektonik Lokal
1 kali gempa Low",VolcanoDiscovery
2022-01-25 15:46:00,-7.98483605397482,112.351915345357,4.09,36,"Gunung Kelud, Kediri","1 kali gempa Letusan/Erupsi
1 kali gempa Hembusan
4 kali gempa Tektonik Lokal
1 kali gempa Tremor Non-Harmonik
2 kali gempa Tektonik Jauh",VolcanoDiscovery
2022-01-25 17:12:00,-8.10142353571934,114.268562307144,4.54,68,"Gunung Ijen, Banyuwangi","1 kali gempa Tremor Non-Harmonik
3 kali gempa Low
3 kali gempa Tektonik Jauh
3 kali gempa Letusan/Erupsi",VolcanoDiscovery
2022-01-25 22:28:00,-7.90959718543414,112.349524505654,3.14,15,"Gunung Kelud, Kediri","1 kali gempa Letusan/Erupsi
3 kali gempa Low Frequency
1 kali gempa Tremor Non-Harmonik",VolcanoDiscovery
2022-01-26 15:54:00,-7.98162874732063,112.241571019975,4.49,23,"Gunung Kelud, Kediri","4 kali gempa Tektonik Jauh
2 kali gempa Tremor Non-Harmonik
3 kali gempa Guguran",VolcanoDiscovery
2022-01-26 19:52:00,-7.94087235310769,112.32531076444,2.77,19,"Gunung Kelud, Kediri",1 kali gempa Tremor Non-Harmonik,VolcanoDiscovery
2022-01-27 16:17:00,-8.16233508639123,114.093659206851,5.18,1,"Gunung Raung, Banyuwangi","5 kali gempa Low Frequency
1 kali gempa Low
3 kali gempa Tektonik Lokal
1 kali gempa Hembusan
3 kali gempa Tektonik Jauh",VolcanoDiscovery
2022-01-29 07:25:00,-7.94489733213923,112.342414229844,4.86,48,"Gunung Kelud, Kediri","2 kali gempa Tremor Non-Harmonik
3 kali gempa Low Frequency
1 kali gempa Tektonik Lokal",VolcanoDiscovery
2022-01-29 20:38:00,-8.06910623228895,114.235119227045,2.66,1,"Gunung Ijen, Bondowoso",2 kali gempa Vulkanik Dangkal,VolcanoDiscovery
2022-01-30 04:40:00,-8.12755251622854,114.075093335035,5.71,43,"Gunung Raung, Banyuwangi","4 kali gempa Low Frequency
2 kali gempa Tremor Non-Harmonik
2 kali gempa Letusan/Erupsi
2 kali gempa Tektonik Jauh
3 kali gempa Vulkanik Dalam",VolcanoDiscovery
2022-01-31 18:18:00,-8.04411790671879,114.233205669959,3.73,17,"Gunung Ijen, Bondowoso",4 kali gempa Tremor Non-Harmonik,VolcanoDiscovery
2022-01-31 23:24:00,-8.09900908208015,114.016481456231,5.16,21,"Gunung Raung, Banyuwangi","4 kali gempa Tektonik Jauh
1 kali gempa Letusan/Erupsi
1 kali gempa Low
4 kali gempa Low Frequency",VolcanoDiscovery
2022-02-01 03:26:00,-7.92761707619851,112.260763601146,5.46,8,"Gunung Kelud, Kediri","3 kali gempa Low
1 kali gempa Low Frequency
5 kali gempa Tektonik Lokal
3 kali gempa Tremor Non-Harmonik
3 kali gempa Tektonik Jauh",VolcanoDiscovery
2022-02-01 11:35:00,-7.9335034486584,112.917143518715,3.13,65,"Gunung Bromo, Probolinggo","2 kali gempa Guguran
5 kali gempa Tektonik Jauh
1 kali gempa Tektonik Lokal
1 kali gempa Letusan/Erupsi
5 kali gempa Hembusan",VolcanoDiscovery
2022-02-01 16:55:00,-8.18601477890897,114.068208648991,4.61,25,"Gunung Raung, Banyuwangi","5 kali gempa Letusan/Erupsi
4 kali gempa Vulkanik Dalam
2 kali gempa Guguran
1 kali gempa Hembusan",VolcanoDiscovery
2022-02-02 12:47:00,-8.12978826721812,114.045605477755,3.69,9,"Gunung Raung, Banyuwangi",4 kali gempa Low Frequency,VolcanoDiscovery
2022-02-03 03:39:00,-8.14043563318824,114.000537264136,2.73,30,"Gunung Raung, Banyuwangi","5 kali gempa Vulkanik Dalam
2 kali gempa Tremor Non-Harmonik
5 kali gempa Low Frequency
2 kali gempa Tektonik Jauh",VolcanoDiscovery
2022-02-04 03:40:00,-7.8910193240734,112.251524329685,3.62,58,"Gunung Kelud, Kediri","4 kali gempa Hembusan
4 kali gempa Tremor Non-Harmonik
5 kali gempa Guguran",VolcanoDiscovery
2022-02-04 04:58:00,-7.99341185346241,112.912157511184,2.8,29,"Gunung Bromo, Probolinggo","1 kali gempa Letusan/Erupsi
3 kali gempa Hembusan
3 kali gempa Guguran",VolcanoDiscovery
2022-02-08 10:32:00,-7.9849728588779,112.30539197011,3.69,61,"Gunung Kelud, Kediri","1 kali gempa Tektonik Jauh
1 kali gempa Tremor Non-Harmonik
4 kali gempa Low Frequency
3 kali gempa Guguran
1 kali gempa Vulkanik Dalam",VolcanoDiscovery
2022-02-08 16:39:00,-7.88321611522596,112.968124654109,3.93,41,"Gunung Bromo, Probolinggo","1 kali gempa Letusan/Erupsi
4 kali gempa Low
2 kali gempa Tremor Non-Harmonik",VolcanoDiscovery
2022-02-08 17:55:00,-7.99689513702661,112.974897890504,3.55,1,"Gunung Bromo, Probolinggo","2 kali gempa Low
4 kali gempa Guguran
5 kali gempa Vulkanik Dalam
1 kali gempa Tektonik Jauh",VolcanoDiscovery
2022-02-08 19:32:00,-8.05447162864765,114.233706894131,2.36,13,"Gunung Ijen, Bondowoso",2 kali gempa Tremor Non-Harmonik,VolcanoDiscovery
2022-02-09 08:47:00,-8.00702282340937,114.264878542693,5.24,30,"Gunung Ijen, Banyuwangi","2 kali gempa Low
1 kali gempa Tremor Non-Harmonik
1 kali gempa Vulkanik Dalam
5 kali gempa Low Frequency",VolcanoDiscovery
2022-02-09 11:02:00,-8.05627996588559,114.246316895987,3.58,7,"Gunung Ijen, Bondowoso",2 kali gempa Low Frequency,VolcanoDiscovery
2022-02-09 13:40:00,-7.976324463047,112.317223945895,2.76,22,"Gunung Kelud, Kediri","1 kali gempa Tektonik Jauh
4 kali gempa Low Frequency
4 kali gempa Hembusan",VolcanoDiscovery
2022-02-09 15:54:00,-8.14291945632611,113.993103987881,4.42,39,"Gunung Raung, Banyuwangi","1 kali gempa Tremor Non-Harmonik
1 kali gempa Tektonik Jauh
3 kali gempa Low Frequency
1 kali gempa Hembusan
3 kali gempa Vulkanik Dalam",VolcanoDiscovery
2022-02-10 01:42:00,-8.13753852292428,114.022327183339,3.55,26,"Gunung Raung, Banyuwangi","1 kali gempa Low Frequency
2 kali gempa Tektonik Lokal
3 kali gempa Hembusan
3 kali gempa Tektonik Jauh",VolcanoDiscovery
2022-02-10 20:02:00,-7.90329236202137,113.018057438088,3.36,69,"Gunung Bromo, Probolinggo","3 kali gempa Guguran
4 kali gempa Vulkanik Dalam
3 kali gempa Tremor Non-Harmonik",VolcanoDiscovery
2022-02-11 11:06:00,-8.13584669574387,112.918333957977,3.27,69,"Gunung Semeru, Lumajang","3 kali gempa Guguran
4 kali gempa Letusan/Erupsi
5 kali gempa Low Frequency
3 kali gempa Hembusan",VolcanoDiscovery
2022-02-12 12:16:00,-7.93178974351379,112.880758663762,5.15,21,"Gunung Bromo, Probolinggo","1 kali gempa Low Frequency
3 kali gempa Guguran
2 kali gempa Tektonik Lokal
3 kali gempa Tremor Non-Harmonik
4 kali gempa Vulkanik Dalam",VolcanoDiscovery
2022-02-12 14:08:00,-7.91412764988958,112.909311137008,2.86,24,"Gunung Bromo, Probolinggo","2 kali gempa Tektonik Jauh
1 kali gempa Low Frequency
3 kali gempa Letusan/Erupsi
3 kali gempa Tremor Non-Harmonik",VolcanoDiscovery
2022-02-13 16:41:00,-8.10525804602979,114.0236255911,1.23,9,"Gunung Raung, Banyuwangi",1 kali gempa Vulkanik Dangkal,VolcanoDiscovery
2022-02-13 23:01:00,-8.13416425995617,112.912261853561,4.95,21,"Gunung Semeru, Lumajang","4 kali gempa Letusan/Erupsi
4 kali gempa Vulkanik Dalam
5 kali gempa Guguran
1 kali gempa Low Frequency
2 kali gempa Tektonik Lokal",VolcanoDiscovery
2022-02-14 16:44:00,-8.07966097376611,112.988012801421,4.88,64,"Gunung Semeru, Lumajang","4 kali gempa Tektonik Lokal
4 kali gempa Tremor Non-Harmonik
2 kali gempa Guguran
2 kali gempa Hembusan
1 kali gempa Low",VolcanoDiscovery
2022-02-14 18:34:00,-8.13599566993535,113.982077703096,4.84,52,"Gunung Raung, Banyuwangi","1 kali gempa Vulkanik Dalam
4 kali gempa Guguran
3 kali gempa Hembusan
3 kali gempa Low Frequency
2 kali gempa Letusan/Erupsi",VolcanoDiscovery
2022-02-15 17:30:00,-7.99462849871413,114.174852996538,5.62,1,"Gunung Ijen, Banyuwangi","3 kali gempa Letusan/Erupsi
2 kali gempa Hembusan
1 kali gempa Tektonik Lokal
1 kali gempa Guguran",VolcanoDiscovery
2022-02-15 17:40:00,-7.95768126814787,112.953866000497,2.19,14,"Gunung Bromo, Probolinggo",4 kali gempa Vulkanik Dalam,VolcanoDiscovery
2022-02-15 19:53:00,-8.05734187688005,114.221004840142,3.49,36,"Gunung Ijen, Banyuwangi","1 kali gempa Low
2 kali gempa Guguran
3 kali gempa Tektonik Jauh
1 kali gempa Tremor Non-Harmonik",VolcanoDiscovery
2022-02-16 09:35:00,-8.10262056873819,114.270845246812,5,58,"Gunung Ijen, Banyuwangi","5 kali gempa Letusan/Erupsi
2 kali gempa Tektonik Lokal
5 kali gempa Guguran
3 kali gempa Tremor Non-Harmonik",VolcanoDiscovery
2022-02-16 22:27:00,-8.04651764660461,114.208765160996,5.96,50,"Gunung Ijen, Banyuwangi","4 kali gempa Letusan/Erupsi
5 kali gempa Tektonik Jauh
5 kali gempa Guguran
1 kali gempa Low",VolcanoDiscovery
2022-02-17 19:09:00,-7.9446743402291,112.900550590294,5.25,41,"Gunung Bromo, Probolinggo","2 kali gempa Low
4 kali gempa Tektonik Jauh
3 kali gempa Tektonik Lokal
5 kali gempa Tremor Non-Harmonik",VolcanoDiscovery
2022-02-18 02:15:00,-7.96809458710831,112.373913270393,3.7,49,"Gunung Kelud, Kediri","4 kali gempa Tektonik Jauh
2 kali gempa Hembusan
1 kali gempa Tektonik Lokal",VolcanoDiscovery
2022-02-18 09:05:00,-7.92069272455218,112.953537299237,2.34,7,"Gunung Bromo, Probolinggo",5 kali gempa Tremor Non-Harmonik,VolcanoDiscovery
2022-02-19 06:31:00,-8.00103680596823,112.243180350236,5.1,9,"Gunung Kelud, Kediri","1 kali gempa Guguran
2 kali gempa Tremor Non-Harmonik
4 kali gempa Letusan/Erupsi
2 kali gempa Tektonik Lokal
5 kali gempa Vulkanik Dalam",VolcanoDiscovery
2022-02-21 13:36:00,-8.12674381721835,114.051014653006,2.2,1,"Gunung Raung, Banyuwangi",4 kali gempa Tremor Non-Harmonik,VolcanoDiscovery
2022-02-22 03:16:00,-8.07902702794038,114.063341867796,4.96,44,"Gunung Raung, Banyuwangi","5 kali gempa Guguran
1 kali gempa Letusan/Erupsi
5 kali gempa Low Frequency
2 kali gempa Vulkanik Dalam",VolcanoDiscovery
2022-02-22 13:21:00,-7.99658824334881,114.202652824004,4.62,68,"Gunung Ijen, Banyuwangi","5 kali gempa Tektonik Lokal
1 kali gempa Letusan/Erupsi
4 kali gempa Tektonik Jauh
3 kali gempa Vulkanik Dalam
4 kali gempa Hembusan",VolcanoDiscovery
2022-02-22 17:37:00,-7.94753744929242,112.934791721722,1.73,13,"Gunung Bromo, Probolinggo",1 kali gempa Guguran,VolcanoDiscovery
2022-02-23 00:24:00,-7.93926445691768,112.320774346839,2.17,14,"Gunung Kelud, Kediri",4 kali gempa Guguran,VolcanoDiscovery
2022-02-23 13:18:00,-8.03388178310499,114.200687063762,2.45,5,"Gunung Ijen, Banyuwangi","5 kali gempa Low
2 kali gempa Tremor Non-Harmonik
1 kali gempa Tektonik Jauh
3 kali gempa Tektonik Lokal
2 kali gempa Guguran",VolcanoDiscovery
2022-02-23 20:46:00,-8.16830735600978,114.028795502371,5.84,41,"Gunung Raung, Banyuwangi","2 kali gempa Tektonik Lokal
4 kali gempa Tremor Non-Harmonik
2 kali gempa Hembusan
4 kali gempa Guguran",VolcanoDiscovery
2022-02-24 01:05:00,-8.08075361653749,112.988895794017,4.74,50,"Gunung Semeru, Lumajang","1 kali gempa Letusan/Erupsi
2 kali gempa Guguran
3 kali gempa Tremor Non-Harmonik",VolcanoDiscovery
2022-02-24 23:32:00,-8.08546976012764,112.888330401367,3.07,70,"Gunung Semeru, Lumajang","3 kali gempa Tektonik Jauh
1 kali gempa Letusan/Erupsi
5 kali gempa Vulkanik Dalam",VolcanoDiscovery
2022-02-25 04:36:00,-8.06949530598206,112.881942806752,2.77,9,"Gunung Semeru, Lumajang","1 kali gempa Low
5 kali gempa Tektonik Jauh
4 kali gempa Guguran",VolcanoDiscovery
2022-02-25 20:30:00,-7.99849507049756,112.379804695342,2.46,70,"Gunung Kelud, Kediri","1 kali gempa Tremor Non-Harmonik
4 kali gempa Tektonik Jauh
1 kali gempa Low Frequency",VolcanoDiscovery
2022-02-26 17:20:00,-7.99757644551493,112.338583299472,2,66,"Gunung Kelud, Kediri","1 kali gempa Guguran
4 kali gempa Hembusan
4 kali gempa Letusan/Erupsi",VolcanoDiscovery
2022-02-27 10:34:00,-7.940935866792,112.26909305415,2.31,68,"Gunung Kelud, Kediri","1 kali gempa Low
5 kali gempa Vulkanik Dalam
4 kali gempa Low Frequency",VolcanoDiscovery
2022-02-28 01:37:00,-8.16953857059441,112.933612972381,3.56,0,"Gunung Semeru, Lumajang","5 kali gempa Hembusan
2 kali gempa Tektonik Lokal
3 kali gempa Vulkanik Dalam",VolcanoDiscovery
2022-03-03 14:55:00,-8.07720433010313,114.236802285312,1.71,5,"Gunung Ijen, Bondowoso",3 kali gempa Tremor Non-Harmonik,VolcanoDiscovery
2022-03-04 20:55:00,-8.0912580007679,112.887109406478,2.9,61,"Gunung Semeru, Lumajang","3 kali gempa Guguran
4 kali gempa Low Frequency
1 kali gempa Vulkanik Dalam
4 kali gempa Hembusan",VolcanoDiscovery
2022-03-08 19:10:00,-8.0950527040052,112.945803065786,4.01,35,"Gunung Semeru, Lumajang","3 kali gempa Low Frequency
4 kali gempa Hembusan
1 kali gempa Guguran",VolcanoDiscovery
2022-03-09 13:06:00,-8.09775408259296,112.939410869908,3.81,5,"Gunung Semeru, Lumajang",3 kali gempa Low Frequency,VolcanoDiscovery
2022-03-09 19:19:00,-8.12683598849521,112.911642496792,2.66,12,"Gunung Semeru, Lumajang",2 kali gempa Guguran,VolcanoDiscovery
2022-03-10 01:12:00,-8.13732468139375,114.038935051023,4.92,39,"Gunung Raung, Banyuwangi","4 kali gempa Low
2 kali gempa Letusan/Erupsi
5 kali gempa Tektonik Lokal",VolcanoDiscovery
2022-03-10 02:23:00,-8.06109905938964,114.198659336611,5.88,24,"Gunung Ijen, Banyuwangi","5 kali gempa Tektonik Jauh
5 kali gempa Tektonik Lokal
4 kali gempa Letusan/Erupsi
1 kali gempa Low Frequency
2 kali gempa Guguran",VolcanoDiscovery
2022-03-11 02:13:00,-8.11883217101907,112.92611998007,1.07,3,"Gunung Semeru, Lumajang",2 kali gempa Low Frequency,VolcanoDiscovery
2022-03-11 09:46:00,-8.12871826927225,112.917909221977,3.33,10,"Gunung Semeru, Lumajang",2 kali gempa Vulkanik Dangkal,VolcanoDiscovery
2022-03-11 11:43:00,-8.11596403245303,112.913761186823,2.47,9,"Gunung Semeru, Lumajang",2 kali gempa Guguran,VolcanoDiscovery
2022-03-11 18:07:00,-8.10221867675709,112.912142979128,4.41,26,"Gunung Semeru, Lumajang","3 kali gempa Low
1 kali gempa Letusan/Erupsi
4 kali gempa Tremor Non-Harmonik
1 kali gempa Low Frequency
4 kali gempa Tektonik Lokal",VolcanoDiscovery
2022-03-12 02:51:00,-7.95168200862298,112.954677986483,3.01,2,"Gunung Bromo, Probolinggo",5 kali gempa Low Frequency,VolcanoDiscovery
2022-03-12 10:11:00,-8.16115189105396,114.020632829275,4.85,32,"Gunung Raung, Banyuwangi","1 kali gempa Low
3 kali gempa Vulkanik Dalam
1 kali gempa Tektonik Jauh",VolcanoDiscovery
2022-03-12 11:44:00,-8.15923325659911,114.026845754132,2.82,4,"Gunung Raung, Banyuwangi","1 kali gempa Guguran
1 kali gempa Tektonik Jauh
4 kali gempa Letusan/Erupsi
5 kali gempa Low Frequency
4 kali gempa Hembusan",VolcanoDiscovery
2022-03-13 05:36:00,-8.11092950989636,114.04503511156,2.76,13,"Gunung Raung, Banyuwangi",4 kali gempa Vulkanik Dalam,VolcanoDiscovery
2022-03-13 13:08:00,-8.02822270777172,114.218177250649,5.87,65,"Gunung Ijen, Banyuwangi","4 kali gempa Hembusan
4 kali gempa Tremor Non-Harmonik
5 kali gempa Vulkanik Dalam
3 kali gempa Guguran
3 kali gempa Low Frequency",VolcanoDiscovery
2022-03-13 13:56:00,-7.93383314732931,112.252658267829,5.14,69,"Gunung Kelud, Kediri","3 kali gempa Vulkanik Dalam
1 kali gempa Low Frequency
3 kali gempa Tektonik Lokal
2 kali gempa Tremor Non-Harmonik",VolcanoDiscovery
2022-03-15 07:32:00,-8.11690193476015,114.057684911847,3.4,13,"Gunung Raung, Banyuwangi",4 kali gempa Vulkanik Dangkal,VolcanoDiscovery
2022-03-16 15:13:00,-8.0393801712932,114.173052281363,4.69,59,"Gunung Ijen, Banyuwangi","5 kali gempa Low
2 kali gempa Low Frequency
3 kali gempa Tremor Non-Harmonik",VolcanoDiscovery
2022-03-16 21:01:00,-7.92627679960477,112.962740568662,2.87,15,"Gunung Bromo, Probolinggo",3 kali gempa Tremor Non-Harmonik,VolcanoDiscovery
2022-03-17 00:16:00,-8.19992809205408,113.969762313275,4.22,12,"Gunung Raung, Banyuwangi","5 kali gempa Tektonik Jauh
5 kali gempa Tektonik Lokal
3 kali gempa Letusan/Erupsi",VolcanoDiscovery
2022-03-17 04:38:00,-8.09946341152562,112.935222569376,3.99,6,"Gunung Semeru, Lumajang",1 kali gempa Guguran,VolcanoDiscovery
2022-03-18 07:08:00,-8.07119058488712,114.026858911845,3.79,25,"Gunung Raung, Banyuwangi","3 kali gempa Vulkanik Dalam
5 kali gempa Tektonik Jauh
3 kali gempa Low
5 kali gempa Tremor Non-Harmonik
3 kali gempa Hembusan",VolcanoDiscovery
2022-03-18 14:44:00,-8.11756632375461,112.937696760563,2.16,60,"Gunung Semeru, Lumajang","4 kali gempa Tremor Non-Harmonik
2 kali gempa Guguran
1 kali gempa Low Frequency
2 kali gempa Letusan/Erupsi
3 kali gempa Tektonik Lokal",VolcanoDiscovery
2022-03-18 19:45:00,-8.12586077035352,114.02463510213,2.44,4,"Gunung Raung, Banyuwangi",1 kali gempa Tremor Non-Harmonik,VolcanoDiscovery
2022-03-18 19:49:00,-7.91874369471489,112.304632144806,2.89,56,"Gunung Kelud, Kediri","1 kali gempa Letusan/Erupsi
5 kali gempa Tektonik Jauh
5 kali gempa Low Frequency
2 kali gempa Vulkanik Dalam",VolcanoDiscovery
2022-03-19 07:12:00,-7.93133690820592,112.304637993775,2.42,5,"Gunung Kelud, Kediri",4 kali gempa Guguran,VolcanoDiscovery
2022-03-19 18:08:00,-8.13590883961665,112.927549493349,4.93,28,"Gunung Semeru, Lumajang","5 kali gempa Letusan/Erupsi
2 kali gempa Vulkanik Dalam
2 kali gempa Guguran
5 kali gempa Tektonik Jauh
3 kali gempa Low Frequency",VolcanoDiscovery
2022-03-20 16:52:00,-7.97596963671062,112.967233061508,5.68,9,"Gunung Bromo, Probolinggo","4 kali gempa Vulkanik Dalam
3 kali gempa Tektonik Jauh
4 kali gempa Tremor Non-Harmonik",VolcanoDiscovery
2022-03-21 04:23:00,-8.10451540731689,114.077467098117,5.57,0,"Gunung Raung, Banyuwangi","1 kali gempa Guguran
5 kali gempa Hembusan
1 kali gempa Low",VolcanoDiscovery
2022-03-22 23:48:00,-8.06261783959261,112.951515094209,3.27,4,"Gunung Semeru, Lumajang","1 kali gempa Tremor Non-Harmonik
3 kali gempa Letusan/Erupsi
5 kali gempa Hembusan",VolcanoDiscovery
2022-03-23 01:18:00,-8.1236506959735,112.864170820276,3.88,19,"Gunung Semeru, Lumajang","3 kali gempa Hembusan
5 kali gempa Guguran
1 kali gempa Low
2 kali gempa Letusan/Erupsi
3 kali gempa Tektonik Lokal",VolcanoDiscovery
